country_name,year,recycling_rate,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,total_environm_tax_per_capita,pollut_environm_tax_per_capita,gr_val_add_per_capita,priv_inv_per_capita
Portugal,2011,20.1,,,,,,,19389.6395896162,61.1410698395502,55.25,27.2,7264000.0,10557560.0,11.328789395701,0.921245932579041,27.8799991607666,12649.0741409346,386.83464739958856,3.4439775857300363,247.97396368100206,141.32053239574296
Portugal,2012,26.1,59.6,72.3,56.9,66.1,30.4,69.7,18679.7626789594,61.1409793914666,60.34,25.5,7503000.0,10514844.0,11.3753199190097,1.00191485881805,30.0200004577637,12024.9855169444,350.3028670705909,3.865963204019004,231.3871703660083,91.299500021113
Portugal,2013,25.8,55.7,75.7,61.5,73.4,35.3,98.5,18597.7214623964,61.1405315215642,62.0956,30.2,9177000.0,10457295.0,11.5651993214334,1.19421780109406,31.8700008392334,11965.0855491495,357.1172086089185,3.678771613500432,222.61971188533937,92.1844511415237
Portugal,2014,30.4,56.4,58.3,61.0,69.1,40.0,131.5,18836.8967978906,61.1394537361116,64.5924,30.5,10497000.0,10401062.0,11.8414875390346,0.983170330524445,34.2099990844727,12316.1716591655,380.44768889946045,3.7371183827189953,229.39965168941401,114.31524973122937
Portugal,2015,29.8,55.2,63.6,57.1,62.2,43.0,86.5,19215.7813014347,61.137469211538,68.6329,27.2,11723000.0,10358076.0,12.2513540948869,1.15793454647064,35.4300003051758,12619.3416378695,418.14908483003984,3.48713409710452,249.56372206575816,141.62861906014206
Portugal,2016,30.9,58.5,42.9,60.9,70.1,41.8,103.4,19662.82312462,61.1343011242723,70.4236,29.0,13359000.0,10325452.0,12.2435166305722,1.14832854270935,36.7700004577637,12983.2437636609,468.7213692921143,3.4894356198643894,261.29606723269836,152.2451511081549
Portugal,2017,29.1,49.0,43.6,55.3,66.9,34.9,89.9,20364.1962735946,61.1296726507436,73.7912,24.4,15432000.0,10300300.0,12.4309295704729,1.2940491437912,37.6199989318848,13288.3754216001,487.7741425007039,3.613486985815947,283.2927196295254,176.79096725338096
Portugal,2018,29.1,51.3,42.5,57.9,66.8,33.9,76.5,20997.7745987013,61.1233069673808,74.661,27.5,16186000.0,10283822.0,12.322133201471,1.18115174770355,37.0800018310547,13657.7492871317,501.2397141840845,3.5842705173232288,312.43247889743714,195.5498646320405
Portugal,2019,28.9,56.1,45.8,62.8,71.0,35.6,91.1,21569.1874752919,61.114927250613,75.3464,28.2,17283000.0,10286263.0,11.9377600515866,1.13418579101562,40.6800003051758,14100.0951432965,529.1834362002994,3.8809040756589637,310.41399583113906,204.44742663103207
Portugal,2020,26.8,52.0,46.3,59.5,66.0,33.9,88.2,19778.7139525722,61.1042566768691,78.2617,31.3,4208000.0,10297081.0,12.0900462439681,0.979601144790649,43.4500007629395,13096.2455701096,462.6039165856809,3.377656250349007,289.9850938338739,154.41269229600115
Portugal,2021,30.4,54.7,54.5,63.1,66.6,38.1,113.4,20747.6990734163,61.0951249296597,82.309,32.3,4208000.0,10361831.0,12.4429299331489,0.952431321144104,44.0859379938661,13629.6694507448,485.0551992210643,4.76749717303824,348.3940241835637,183.65480000590628
Portugal,2022,30.2,56.9,52.1,61.1,64.4,37.3,79.5,22042.8680283647,61.1259255772782,84.4969,32.3,4208000.0,10434332.0,12.4622635474503,1.00113356113434,45.6849108373722,14286.1858238291,445.43244359102243,8.120308995343448,298.1503751270326,168.3864381543543
Portugal,2023,30.6,55.9,50.2,61.8,62.8,39.5,94.1,22417.1615864385,61.2048652633664,85.7901,32.3,4208000.0,10578174.0,12.0809802413045,0.987550020217896,46.3494493223657,14326.0957161861,508.4393582484085,9.684091034993374,299.7681830531432,168.36554210584927
Portugal,2024,,,,,,,,22647.3791895579,61.3281907341332,88.487,32.3,4208000.0,10694681.0,11.7623406083143,0.987550020217896,48.5642852233967,14326.0957161861,,,,
Romania,1995,,,,,,,,,,,,,,,,,,,,,
Romania,1996,,,,,,,,,,,,,,,,,,,,,
Romania,1997,,,,,,,,,,,,,,,,,,,,,
Romania,1998,,,,,,,,,,,,,,,,,,,,,
Romania,1999,,,,,,,,,,,,,,,,,,,,,
Romania,2000,0.0,,,,,,,4569.31124324524,52.8619549004535,3.61372,16.4,5264000.0,22442971.0,19.8128920493959,-0.262158989906311,59.241860178055,2219.02966937288,61.43259731521286,6.083419169413889,,
Romania,2001,1.6,,,,,,,4875.30310600635,52.764808691157,4.53867,13.4,4938000.0,22131970.0,22.0207783534399,-0.229373402893543,60.2177580925204,2437.79817367497,48.15296604866173,7.30301007998836,,
Romania,2002,2.0,,,,,,,5248.54994632668,52.7466427937759,6.58,14.4,4794000.0,21730496.0,21.8092683135058,-0.196587815880775,52.6500015258789,2658.99959324172,47.4324193980662,7.018247535629191,,
Romania,2003,0.2,,,,,,,5410.30835796252,52.8023493819682,8.9,15.7,5595000.0,21574326.0,21.0476787954831,-0.283442199230194,60.0366828849929,2902.68584893822,56.82726774407692,6.14202269864653,,
Romania,2004,1.1,,,,,,,6008.64048461485,52.9175295523808,15.0,17.3,6600000.0,21451748.0,21.2420046238418,-0.17491602897644,60.8212788960474,3381.69313295518,66.90596962075072,3.9045769137321584,,
Romania,2005,1.8,,,,,,,6328.09022324183,53.074507031037,21.5,18.5,5839000.0,21319685.0,21.2678992923076,-0.289697855710983,62.532315194077,3784.60221765793,74.56160820387356,3.5314780682735227,40.00997200474585,29.831585222764783
Romania,2006,0.5,,,,,,,6876.77841417966,53.2566380678272,24.66,17.4,6037000.0,21193760.0,21.1053948126196,-0.189176306128502,63.5713662897754,4195.6733530934,89.12009950098519,3.8086682117755415,44.116758895071,30.90532307622621
Romania,2007,0.5,,,,,,,7483.97375820611,53.4472789126416,28.3,18.2,7722000.0,20882982.0,21.0280647164106,-0.352275401353836,64.2699966430664,4847.49830208764,122.69033225235745,0.95053474642654,49.657659045054004,33.08914406955865
